Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Uruguay,URY,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.91812267,30.97361333,38.33838809,37.37554753,39.51424016,45.48544147,63.88495455,52.50320705,58.41878892,52.25060166,54.35695924,45.60122826,46.83627141,53.54206938,55.84337267,48.84356626,42.66986949,38.37694036,36.60305465,36.04285582,36.21040017,33.66339515,36.29611467,40.08127742,43.24048613,49.15120645,59.56629305,58.40820382,48.97946675,45.28475535,45.20977722,39.93378583,43.98744959,37.81978418,40.52392033,41.38090999,40.16449946,41.97292944,44.01859484,49.42991068,46.71193183,44.27518777,45.97603886,48.78338585,59.12690147,58.75064182,52.08044503,50.33792035,54.21914435,51.47128923
Uruguay,URY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14060.84015,14474.72723,15536.48133,15865.27151,16932.02204,16600.0329,17433.68669,18823.93479,19577.78255,19192.7103,18752.05071,17986.89395,16572.7819,16694.4326,17519.37299,18811.31248,19560.07435,20803.88531,22249.37509,23138.07331,24879.8256,26099.31165,26953.2709,28119.47269,28935.08649,28941.61845,29332.55616,29762.42207,29757.92761,30010.56288,27788.17496,29431.87388,30840.07098,31100.96969,32149.48007,32741.62469
Uruguay,URY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,22.34369323,25.7328905,29.34125865,33.94831982,37.23591167,40.42415806,72.38234399,57.96174349,52.82851831,55.28629207,46.77741229,37.05291261,38.31548547,36.33086492,32.43984008,25.51205009,25.31990378,24.86348115,23.85579907,26.43822057,26.80770338,25.90578431,40.521269,43.5957665,45.09422693,53.85388568,70.51173827,43.18654311,24.1933896,22.47494307,23.75193528,23.02997259,27.16853395,19.8647261,21.40403612,21.97399051,22.17052919,24.37688152,25.16679317,27.81400853,25.6815823,23.92630027,24.94485122,25.3082497,27.88463978,26.7129872,26.38220447,28.13801091,30.56525671,30.75760626
Uruguay,URY,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.95897876,21.48539449,22.71022887,24.04150048,17.34631903,21.39046357,19.79651878,14.25354201,12.1267005,11.37877294,11.18166228,14.29512041,14.66974755,12.06646355,12.20085101,15.12534471,15.3848956,15.64129551,15.87163413,15.40771142,15.24021227,16.84529339,17.33757808,15.07533096,14.4570209,14.32793979,13.07290595,15.20630885,17.4684628,17.69885816,19.46057343,19.52605528,23.20809459,19.62477452,19.40760548,20.88231101,22.91537973,22.48441201,21.20281224,19.7053904,17.38918657,15.92400932,14.85341398,14.12081135,16.23365571,18.19670198,18.61484039,17.65662838,15.92301137,16.17835396
Uruguay,URY,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,47.29149242,55.60669162,46.80166099,79.20819471,54.76270098,27.34459951,18.16226689,53.73104707,56.34960683,74.01716145,70.96333508,72.78399122,74.63639178,76.07946615,106.8366765,100.8081676,59.6236227,47.85192889,38.95718236,41.04832687,26.43173778,27.4851661,12.38390546,3.882996065,3.539308493,4.826618333,12.61627664,16.54163515,10.105056,0.677868374,7.41439913,10.31496818,8.902388578,8.617074545,5.746856984,9.875420246,9.412912474,8.999246669,10.2206566,9.855420322,8.165456543,5.680172805,7.525562174,8.256330832,10.72339579,11.07400816,5.989019483,4.053429381,4.184626016,4.333084541
World,WLD,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,61.83287432,62.12656097,65.39267936,64.11446166,62.94883596,64.65567791,67.39981766,70.78738012,73.1733284,74.66205194,82.6959625,87.37848082,91.01066932,92.20289031,86.94825158,88.3276964,86.93232118,90.52539451,90.31074809,91.48657165,88.696028,89.15721512,91.89188709,98.57277603,98.65619483,95.42573014,96.23554479,97.0956432,95.91436236,95.29212519,96.10562116,96.41543203,100.0025134,111.0087715,107.9480905,109.1949223,111.5060523,112.095354,114.5310446,117.7380764,121.6668651,119.9613444,120.2048697,122.2835326,140.0833201,139.9156172,136.9038372,135.5653641,136.1055622,..
World,WLD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11275.13398,11183.41069,11147.5576,11138.33219,11264.77783,11442.80415,11691.70786,11979.7238,12098.40319,12360.74333,12780.63814,12915.05532,13104.3468,13410.59783,13921.3401,14377.20536,14934.6933,15519.53751,15756.19739,15456.59251,16050.85285,16478.65087,16785.05388,17121.72318,17502.78046,17870.97974,18234.01877,18714.57368,19189.49223,19551.08537,18812.49218,19875.56692,20421.73368,20894.86637,21393.18436,21913.50949
World,WLD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,72.07925509,..,..,..,72.81777669,75.53162967,80.1446352,82.67042743,87.54898181,98.56793328,105.0024373,109.5939205,115.0575142,..,..,..,121.3731475,119.9359016,120.73523,120.1820714,123.0708337,128.77583,139.0020602,134.39255,123.4456402,120.5947098,124.3907903,124.2670753,125.1203747,127.7166488,127.9225622,119.8925723,124.4842918,119.2008466,114.5994752,115.4197582,117.4883695,118.8069186,123.1119222,124.550893,125.4241118,124.755658,129.2855601,144.7530921,141.7634573,134.4255445,135.9707942,140.3204509,..
World,WLD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.29296003,26.56692778,26.91048151,27.17505545,26.59882432,25.93502514,24.55886113,24.1114659,25.24186467,25.00179932,25.05486351,25.26948615,26.38648166,26.9406614,26.56903573,25.87645793,25.25877943,24.7053019,25.02422812,25.04717277,24.84646941,24.63104906,24.20868887,24.33881846,24.69810478,23.89055537,23.25386343,23.42721642,24.09493129,24.45938842,25.00717173,25.46622709,25.46020818,23.42349319,24.62677158,25.34954276,25.48716075,25.59703759,25.87947205,25.92454086,25.66630537,26.1215187,26.66189953,26.56411734,26.45742608,27.23730539,27.47393935,26.65774659,26.28769098,..
World,WLD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,9.281522019,9.693085608,7.797801406,11.51224723,13.05354569,10.04785874,8.113086842,7.725272838,7.923232848,5.526820143,5.097969808,7.176368511,6.513415319,7.147738828,7.906598429,8.665658945,7.344066929,7.559538278,9.808157635,8.667818239,6.619638968,4.260791089,4.675120892,4.210807178,5.24260503,3.941794104,3.583238511,4.003965725,5.629248197,5.777817973,5.875935811,5.953545136,7.860966094,2.035574468,4.229784729,5.476499433,3.606434269,2.260770609,1.974397796,2.320565354,1.987078912,2.974740108,2.787709514,2.37586014,1.982160556,4.557808315,7.333874589,4.992518878,4.087575663,3.331760947
Argentina,ARG,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,19.05432005,22.47230597,24.54096738,25.86769055,24.95573441,23.41155755,21.24287839,21.02593844,21.97477621,17.30336287,19.58474074,22.0526189,25.14760548,20.10465632,11.48109468,10.55677756,13.69143719,19.21862334,20.770289,20.14127137,22.69048015,26.47018463,28.65068486,31.44367759,31.84862106,27.13925159,27.92706955,30.10405723,28.32564647,28.66331028,28.04961193,27.86431643,23.49367316,25.32273847,25.4406026,24.38712399,27.17564527,27.19624241,25.82170185,27.69088504,28.3723031,28.49528017,30.41075648,26.18303895,34.50526317,30.73095443,32.19183572,35.82185199,26.33393104,26.27759011
Argentina,ARG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17007.28443,18295.6092,19476.28406,20791.34515,21711.84279,20819.49995,21695.59495,23172.15834,23783.10172,22714.51113,22281.38143,21066.45813,18571.70205,20005.13851,21591.4494,23262.40758,24877.24939,26850.66459,27658.48534,25747.19768,28056.25702,29425.75939,28825.96669,29227.66018,28200.81526,28669.20613,27802.10572,28334.90418,27367.11509,26629.55294,23877.09314,26300.27426,27825.02735,27230.39685,26771.96577,27846.59846
