Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
CHL,1995,35.61525123,1990,0.8603681899999955,91.48657165,-55.87132042,-61.070514953546194
CHL,1996,38.67438823,1990,3.0591369999999998,88.696028,-50.02163977,-56.39670783228309
CHL,1997,43.3789624,1990,4.704574170000001,89.15721512,-45.778252720000005,-51.34553906645173
CHL,1998,46.80886019,1990,3.4298977899999983,91.89188709,-45.0830269,-49.06094360195819
CHL,1999,51.89663939,1990,5.0877792,98.57277603,-46.67613664,-47.35195509335602
CHL,2000,51.58184379,2000,-0.3147955999999965,98.65619483,-47.07435104,-47.71555513682283
CHL,2001,87.55772448,2000,35.975880690000004,95.42573014,-7.868005659999994,-8.245161602071862
CHL,2002,87.08870656,2000,-0.46901791999999887,96.23554479,-9.14683823,-9.504635994901609
CHL,2003,79.32358782,2000,-7.7651187400000055,97.0956432,-17.772055379999998,-18.303658943164606
CHL,2004,76.11741803,2000,-3.206169790000004,95.91436236,-19.796944330000002,-20.640229307572497
CHL,2005,74.65289539,2000,-1.4645226399999984,95.29212519,-20.639229799999995,-21.658903879883127
CHL,2006,74.67754258,2000,0.024647189999996044,96.10562116,-21.428078580000005,-22.296384250329947
CHL,2007,80.24159765,2000,5.564055070000009,96.41543203,-16.173834380000002,-16.775151072255174
CHL,2008,77.25443467,2000,-2.987162980000008,100.0025134,-22.748078730000003,-22.74750699415921
CHL,2009,71.88560249,2000,-5.368832179999998,111.0087715,-39.12316901,-35.24331319169674
CHL,2010,67.19858831,2010,-4.687014179999991,107.9480905,-40.74950219,-37.749164437512675
CHL,2011,75.27888297,2010,8.080294659999993,109.1949223,-33.916039330000004,-31.06008834075612
CHL,2012,77.62592392,2010,2.3470409500000073,111.5060523,-33.88012837999999,-30.384116091606977
CHL,2013,82.10723828,2010,4.481314359999999,112.095354,-29.988115719999996,-26.752327058978732
CHL,2014,82.86319815,2010,0.7559598699999981,114.5310446,-31.66784645,-27.65001101718756
CHL,2015,84.36149718,2010,1.4982990299999983,117.7380764,-33.376579219999996,-28.348160799406436
