country,year,Broad money (% of GDP),Domestic credit to private sector (% of GDP),"GDP per capita, PPP (constant 2021 international $)",Gross capital formation (% of GDP),"Inflation, GDP deflator (annual %)",world_broad_money,broad_money_gap_world,broad_money_gap_world_pct,broad_money_percentile
BRA,1985,14.36891681,44.24583339,75.10299273,20.29909322,248.5436591,74.66205194,-60.293135129999996,-80.75472554444771,0.12
BRA,1986,20.87996256,44.24583339,75.10299273,19.96083966,149.1793183,82.6959625,-61.81599994,-74.75092866837363,0.24
BRA,1987,20.65932161,44.24583339,75.10299273,23.17360166,206.2087087,87.37848082,-66.71915920999999,-76.35651087530546,0.22
BRA,1988,80.44763566,105.3910076,75.10299273,24.34422669,627.9514702,91.01066932,-10.563033660000002,-11.606368504839386,0.72
BRA,1989,111.3253039,127.7470501,75.10299273,26.90278704,1304.424209,92.20289031,19.122413589999994,20.739494744370333,0.96
BRA,1990,30.39451422,42.08278959,12633.28846,20.1677066,2736.970678,86.94825158,-56.55373736,-65.0429839960216,0.26
BRA,1991,35.02960132,45.15931635,12546.5605,19.76876887,416.6780939,88.3276964,-53.298095079999996,-60.3413167695835,0.3
BRA,1992,60.93240882,84.4659027,12271.97885,18.93453994,969.0129628,86.93232118,-25.999912360000003,-29.90822286473313,0.54
BRA,1993,93.65884647,134.1135891,12669.42872,20.84635521,1996.150247,90.52539451,3.133451960000002,3.4614065776359157,0.8
BRA,1994,45.4613038,69.52319942,13202.9308,22.14556295,2240.168866,90.31074809,-44.84944429,-49.66124767929602,0.4
BRA,1995,32.44854688,43.49452482,13550.43937,17.29234635,93.97804306,91.48657165,-59.03802477,-64.53190201056135,0.28
BRA,1996,35.11848156,40.77849368,13641.6296,17.26694638,18.45624377,88.696028,-53.57754644,-60.40580130600662,0.32
BRA,1997,36.96512905,40.85223717,13896.62499,17.76398561,7.729023412,89.15721512,-52.19208607,-58.53938573535831,0.34
BRA,1998,39.33173174,29.53226057,13737.70264,18.16475192,4.924361585,91.89188709,-52.560155349999995,-57.197819105098965,0.36
BRA,1999,42.81105421,29.8269102,13602.41371,17.38955974,8.010500883,98.57277603,-55.76172182,-56.56908942386818,0.38
BRA,2000,46.48658781,31.14098578,14005.34719,18.90311927,5.606065141,98.65619483,-52.16960702,-52.88021407058763,0.42
BRA,2001,58.63617172,29.00403802,14016.13138,18.7418603,8.225094321,95.42573014,-36.78955842,-38.55308035476981,0.5
BRA,2002,55.00498217,29.64514194,14265.90488,17.44907948,9.798112238,96.23554479,-41.23056262000001,-42.84338256719085,0.44
BRA,2003,56.5263638,27.68566994,14259.36641,16.8566884,14.09102152,97.0956432,-40.5692794,-41.78280102273425,0.48
BRA,2004,56.33206511,29.37277026,14911.26096,17.91256834,7.752060763,95.91436236,-39.582297249999996,-41.26837344905015,0.46
BRA,2005,60.13304446,31.83978415,15221.01383,17.20488345,7.431224757,95.29212519,-35.15908072999999,-36.89610307241799,0.52
BRA,2006,63.24977948,35.42516668,15657.47957,17.81647388,6.774274088,96.10562116,-32.85584168,-34.18722160413535,0.56
BRA,2007,68.35919863,40.69093794,16440.58374,19.81932598,6.439038106,96.41543203,-28.05623340000001,-29.099318241161036,0.58
BRA,2008,70.48945297,45.782256,17113.36798,21.61938285,8.778552728,100.0025134,-29.513060429999996,-29.51231866738261,0.6
BRA,2009,76.09041944,47.49428985,16939.44078,18.79613503,7.313482743,111.0087715,-34.91835205999999,-31.45548913673006,0.64
BRA,2010,74.21938015,52.76465763,18062.15811,21.80132156,8.423338338,107.9480905,-33.72871035,-31.245305214546615,0.62
BRA,2011,76.82527514,58.07849111,18627.81045,21.82627112,8.318592222,109.1949223,-32.36964716,-29.64391244408624,0.66
BRA,2012,79.05286203,62.5192932,18832.21955,21.41722537,7.943126935,111.5060523,-32.45319026999999,-29.10442043332925,0.7
BRA,2013,78.62652781,64.23057383,19241.50598,21.69376696,7.504564534,112.095354,-33.46882619,-29.857460631240794,0.68
BRA,2014,81.90656401,66.02851039,19183.17274,20.54841076,7.846709752,114.5310446,-32.624480590000005,-28.48527288294724,0.74
BRA,2015,88.06962765,66.82970065,18357.06906,17.41162587,7.566175007,117.7380764,-29.668448749999996,-25.198686488817135,0.76
BRA,2016,93.82113793,62.19400696,17620.92724,14.96954697,8.103604376,121.6668651,-27.84572716999999,-22.886861716304704,0.84
BRA,2017,93.0595992,59.4843093,17724.47996,14.6255876,3.671384503,119.9613444,-26.901745200000008,-22.425344876345026,0.78
BRA,2018,93.71303403,60.21834794,17917.74921,15.09504163,4.493534328,120.2048697,-26.49183567,-22.038903861479746,0.82
BRA,2019,96.05785043,62.79050508,18018.62092,15.5167908,4.224258863,122.2835326,-26.22568217,-21.446618046099854,0.86
BRA,2020,109.1542171,68.69615485,17327.51572,16.1158206,6.472499623,140.0833201,-30.929103000000012,-22.079076208302983,0.92
BRA,2021,103.4656345,68.80522468,18075.706,19.52188502,13.04727086,139.9156172,-36.44998270000002,-26.051404002955014,0.88
BRA,2022,104.3022143,70.60609738,18554.04618,18.08822044,8.570281962,136.9038372,-32.601622899999995,-23.813520180864582,0.9
BRA,2023,110.1845393,71.07554055,19079.81221,15.76064721,5.159501074,135.5653641,-25.380824800000013,-18.722204575261426,0.94
BRA,2024,116.3965549,75.63087309,19652.3655,16.9814356,4.079674485,136.1055622,-19.70900730000001,-14.480677337079475,0.98
BRA,2025,118.2299013,75.10299273,20024.69683,17.07599652,5.72744779,136.1055622,-17.875660900000014,-13.133674047598925,1.0
CHL,1976,19.36229367,75.30109621,102.084209,13.33411356,245.6523127,61.83287432,-42.47058065,-68.6860850592268,0.04
CHL,1977,17.37293108,75.30109621,102.084209,14.97208036,101.3044307,62.12656097,-44.75362989,-72.03622603802401,0.02
CHL,1978,19.73822636,75.30109621,102.084209,18.47517691,56.09346368,65.39267936,-45.654453000000004,-69.815847044075,0.06
CHL,1979,22.65199799,75.30109621,102.084209,18.36829301,47.44910461,64.11446166,-41.462463670000005,-64.66944055441985,0.08
CHL,1980,26.44104221,75.30109621,102.084209,21.69175821,28.71981002,62.94883596,-36.50779375,-57.99597910467858,0.1
CHL,1981,27.51640226,75.30109621,102.084209,22.98815887,11.42005043,64.65567791,-37.139275649999995,-57.44163057372543,0.12
CHL,1982,35.88017411,75.30109621,102.084209,11.61039098,7.170555404,67.39981766,-31.519643549999998,-46.76517629320839,0.24
CHL,1983,33.01381482,75.30109621,102.084209,11.99925991,31.35351301,70.78738012,-37.773565299999994,-53.36200497315424,0.14
CHL,1984,36.21217616,75.30109621,102.084209,19.01545941,16.12825952,73.1733284,-36.961152240000004,-50.51178215913984,0.3
