country,series,year,value,decade,change,annual_change,pct_change,rolling_5y,rolling_std_5y
BRA,"GDP per capita, PPP (constant 2021 international $)",2022,18554.04618,2020,478.3401800000029,478.3401800000029,2.646315336175542,17978.727606,438.6864005871934
BRA,"GDP per capita, PPP (constant 2021 international $)",2023,19079.81221,2020,525.7660299999989,525.7660299999989,2.833700126103711,18211.140206,653.5238881314727
BRA,"GDP per capita, PPP (constant 2021 international $)",2024,19652.3655,2020,572.5532899999998,572.5532899999998,3.000832941636178,18537.889122,896.4675526032014
BRA,"GDP per capita, PPP (constant 2021 international $)",2025,20024.69683,2020,372.3313300000009,372.3313300000009,1.89458785508545,19077.325344,791.3994711510303
BRA,Gross capital formation (% of GDP),1976,23.04211984,1970,,,,,
BRA,Gross capital formation (% of GDP),1977,22.04751885,1970,-0.9946009900000021,-0.9946009900000021,-4.316447431513759,,
BRA,Gross capital formation (% of GDP),1978,23.03312674,1970,0.9856078900000007,0.9856078900000007,4.470380076350411,22.70758847666667,0.5716547498252837
BRA,Gross capital formation (% of GDP),1979,23.13792772,1970,0.10480098000000027,0.10480098000000027,0.4550010998636944,22.815173287500002,0.5139624513717397
BRA,Gross capital formation (% of GDP),1980,23.11350626,1980,-0.02442145999999923,-0.02442145999999923,-0.10554730871118467,22.874839882,0.46467038162677515
BRA,Gross capital formation (% of GDP),1981,23.58030275,1980,0.4667964900000001,0.4667964900000001,2.019583202777997,22.982476464,0.5646771996237713
BRA,Gross capital formation (% of GDP),1982,21.89985654,1980,-1.680446210000003,-1.680446210000003,-7.126482759005304,22.952944002000002,0.6262987880009957
BRA,Gross capital formation (% of GDP),1983,17.88251277,1980,-4.0173437699999965,-4.0173437699999965,-18.344155646236015,21.922821208,2.343399210590362
BRA,Gross capital formation (% of GDP),1984,17.46922541,1980,-0.41328736000000177,-0.41328736000000177,-2.3111257646819094,20.789080746000003,2.911068273046889
BRA,Gross capital formation (% of GDP),1985,20.29909322,1980,2.8298678099999997,2.8298678099999997,16.199160200772745,20.226198138,2.605293822916997
BRA,Gross capital formation (% of GDP),1986,19.96083966,1980,-0.3382535599999983,-0.3382535599999983,-1.66634812862837,19.50230552,1.8269180589554501
BRA,Gross capital formation (% of GDP),1987,23.17360166,1980,3.212761999999998,3.212761999999998,16.095324919813514,19.757054544,2.2779485016392105
BRA,Gross capital formation (% of GDP),1988,24.34422669,1980,1.17062503,1.17062503,5.051545492044163,21.049397327999998,2.7355844705594485
BRA,Gross capital formation (% of GDP),1989,26.90278704,1980,2.5585603500000005,2.5585603500000005,10.509926573477868,22.936109654,2.8974045599024465
BRA,Gross capital formation (% of GDP),1990,20.1677066,1990,-6.735080440000001,-6.735080440000001,-25.034879954950572,22.90983233,2.927736328735966
BRA,Gross capital formation (% of GDP),1991,19.76876887,1990,-0.3989377300000001,-0.3989377300000001,-1.9781016151831587,22.871418172,2.9769490966743377
BRA,Gross capital formation (% of GDP),1992,18.93453994,1990,-0.8342289299999983,-0.8342289299999983,-4.219933651336161,22.023605828,3.4373925509294976
BRA,Gross capital formation (% of GDP),1993,20.84635521,1990,1.9118152699999982,1.9118152699999982,10.0969723904472,21.324031532,3.194381280117274
BRA,Gross capital formation (% of GDP),1994,22.14556295,1990,1.29920774,1.29920774,6.232301651354244,20.372586714,1.2085582004272915
BRA,Gross capital formation (% of GDP),1995,17.29234635,1990,-4.8532166,-4.8532166,-21.915074414488977,19.797514663999998,1.8462676688881283
BRA,Gross capital formation (% of GDP),1996,17.26694638,1990,-0.025399969999998717,-0.025399969999998717,-0.1468856191398138,19.297150166,2.167137719766932
BRA,Gross capital formation (% of GDP),1997,17.76398561,1990,0.4970392299999986,0.4970392299999986,2.878558947607024,19.063039299999996,2.2765660257076354
BRA,Gross capital formation (% of GDP),1998,18.16475192,1990,0.4007663100000016,0.4007663100000016,2.2560607669846133,18.526718642,2.0566670135710723
BRA,Gross capital formation (% of GDP),1999,17.38955974,1990,-0.7751921800000012,-0.7751921800000012,-4.2675627138430094,17.575518,0.3849349798969928
BRA,Gross capital formation (% of GDP),2000,18.90311927,2000,1.513559530000002,1.513559530000002,8.703840422816844,17.897672584,0.662593545051192
BRA,Gross capital formation (% of GDP),2001,18.7418603,2000,-0.16125897000000222,-0.16125897000000222,-0.853081270327305,18.192655367999997,0.639508398092848
BRA,Gross capital formation (% of GDP),2002,17.44907948,2000,-1.2927808199999973,-1.2927808199999973,-6.897825505614286,18.129674142000002,0.7044852962578447
BRA,Gross capital formation (% of GDP),2003,16.8566884,2000,-0.5923910800000023,-0.5923910800000023,-3.3949703804088682,17.868061438,0.9030855918639336
BRA,Gross capital formation (% of GDP),2004,17.91256834,2000,1.0558799400000005,1.0558799400000005,6.263863428833383,17.972663158,0.8632154619692132
BRA,Gross capital formation (% of GDP),2005,17.20488345,2000,-0.7076848899999995,-0.7076848899999995,-3.9507728683423338,17.633015994,0.7292975830761882
BRA,Gross capital formation (% of GDP),2006,17.81647388,2000,0.6115904299999997,0.6115904299999997,3.5547490442313867,17.447938710000003,0.43599109923425233
BRA,Gross capital formation (% of GDP),2007,19.81932598,2000,2.0028520999999984,2.0028520999999984,11.241574025757783,17.92198801,1.1467579892086395
BRA,Gross capital formation (% of GDP),2008,21.61938285,2000,1.8000568700000024,1.8000568700000024,9.08233141639867,18.8745269,1.8206749574152228
